[2026-03-05T21:03:05.576Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:08.863Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:03:09.561Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:04:44.695Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:05:11.937Z] [INFO] Server running on port 3001
[2026-03-05T21:05:14.040Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:05:20.790Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:05:38.471Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:05:38.700Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:06:46.747Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:09:02.269Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:09:49.840Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:09:51.234Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:14:00.320Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:14:18.196Z] [INFO] Server running on port 3001
[2026-03-05T21:14:18.398Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:14:31.747Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:19:47.433Z] [INFO] Server running on port 3001
[2026-03-05T21:19:47.631Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:20:01.288Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:23:02.685Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:23:25.075Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:23:55.320Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
[2026-03-05T21:23:55.344Z] [WARN] SOCKET_AUTH_TOKEN not configured; Socket.IO auth is bypassed.
